"group_code","group_name","country_code"
"CEFTA","Central European Free Trade Agreement","AL"
"CEFTA","Central European Free Trade Agreement","BA"
"CEFTA","Central European Free Trade Agreement","BG"
"CEFTA","Central European Free Trade Agreement","CZ"
"CEFTA","Central European Free Trade Agreement","HR"
"CEFTA","Central European Free Trade Agreement","HU"
"CEFTA","Central European Free Trade Agreement","MD"
"CEFTA","Central European Free Trade Agreement","ME"
"CEFTA","Central European Free Trade Agreement","MK"
"CEFTA","Central European Free Trade Agreement","OM"
"CEFTA","Central European Free Trade Agreement","PL"
"CEFTA","Central European Free Trade Agreement","RS"
"CEFTA","Central European Free Trade Agreement","SI"
"CEFTA","Central European Free Trade Agreement","SK"
"CIS","Commonwealth of Independent States","AM"
"CIS","Commonwealth of Independent States","AZ"
"CIS","Commonwealth of Independent States","BY"
"CIS","Commonwealth of Independent States","KG"
"CIS","Commonwealth of Independent States","KZ"
"CIS","Commonwealth of Independent States","MD"
"CIS","Commonwealth of Independent States","RU"
"CIS","Commonwealth of Independent States","TJ"
"CIS","Commonwealth of Independent States","UZ"
"CIVETS","CIVETS","CO"
"CIVETS","CIVETS","EG"
"CIVETS","CIVETS","ID"
"CIVETS","CIVETS","TR"
"CIVETS","CIVETS","VN"
"CIVETS","CIVETS","ZA"
"CoE","Council of Europe","AD"
"CoE","Council of Europe","AL"
"CoE","Council of Europe","AM"
"CoE","Council of Europe","AT"
"CoE","Council of Europe","AZ"
"CoE","Council of Europe","BA"
"CoE","Council of Europe","BE"
"CoE","Council of Europe","BG"
"CoE","Council of Europe","CH"
"CoE","Council of Europe","CY"
"CoE","Council of Europe","CZ"
"CoE","Council of Europe","DE"
"CoE","Council of Europe","DK"
"CoE","Council of Europe","EE"
"CoE","Council of Europe","ES"
"CoE","Council of Europe","FI"
"CoE","Council of Europe","FR"
"CoE","Council of Europe","GB"
"CoE","Council of Europe","GE"
"CoE","Council of Europe","GR"
"CoE","Council of Europe","HR"
"CoE","Council of Europe","HU"
"CoE","Council of Europe","IE"
"CoE","Council of Europe","IS"
"CoE","Council of Europe","IT"
"CoE","Council of Europe","LI"
"CoE","Council of Europe","LT"
"CoE","Council of Europe","LU"
"CoE","Council of Europe","LV"
"CoE","Council of Europe","MC"
"CoE","Council of Europe","MD"
"CoE","Council of Europe","ME"
"CoE","Council of Europe","MK"
"CoE","Council of Europe","MT"
"CoE","Council of Europe","NL"
"CoE","Council of Europe","NO"
"CoE","Council of Europe","OM"
"CoE","Council of Europe","PL"
"CoE","Council of Europe","PT"
"CoE","Council of Europe","RS"
"CoE","Council of Europe","RU"
"CoE","Council of Europe","SE"
"CoE","Council of Europe","SI"
"CoE","Council of Europe","SK"
"CoE","Council of Europe","SM"
"CoE","Council of Europe","TR"
"CoE","Council of Europe","UA"
"Comecon","Council of Mutual Economic Assistance","BG"
"Comecon","Council of Mutual Economic Assistance","CU"
"Comecon","Council of Mutual Economic Assistance","DE"
"Comecon","Council of Mutual Economic Assistance","HU"
"Comecon","Council of Mutual Economic Assistance","MN"
"Comecon","Council of Mutual Economic Assistance","OM"
"Comecon","Council of Mutual Economic Assistance","PL"
"Comecon","Council of Mutual Economic Assistance","RU"
"Comecon","Council of Mutual Economic Assistance","SK"
"Comecon","Council of Mutual Economic Assistance","VN"
"Commonwealth of Nations","Commonwealth of Nations","AG"
"Commonwealth of Nations","Commonwealth of Nations","AU"
"Commonwealth of Nations","Commonwealth of Nations","BB"
"Commonwealth of Nations","Commonwealth of Nations","BD"
"Commonwealth of Nations","Commonwealth of Nations","BN"
"Commonwealth of Nations","Commonwealth of Nations","BS"
"Commonwealth of Nations","Commonwealth of Nations","BW"
"Commonwealth of Nations","Commonwealth of Nations","BZ"
"Commonwealth of Nations","Commonwealth of Nations","CA"
"Commonwealth of Nations","Commonwealth of Nations","CM"
"Commonwealth of Nations","Commonwealth of Nations","CY"
"Commonwealth of Nations","Commonwealth of Nations","DM"
"Commonwealth of Nations","Commonwealth of Nations","FJ"
"Commonwealth of Nations","Commonwealth of Nations","GB"
"Commonwealth of Nations","Commonwealth of Nations","GD"
"Commonwealth of Nations","Commonwealth of Nations","GH"
"Commonwealth of Nations","Commonwealth of Nations","GM"
"Commonwealth of Nations","Commonwealth of Nations","GN"
"Commonwealth of Nations","Commonwealth of Nations","GY"
"Commonwealth of Nations","Commonwealth of Nations","IN"
"Commonwealth of Nations","Commonwealth of Nations","JM"
"Commonwealth of Nations","Commonwealth of Nations","KE"
"Commonwealth of Nations","Commonwealth of Nations","KI"
"Commonwealth of Nations","Commonwealth of Nations","KN"
"Commonwealth of Nations","Commonwealth of Nations","LC"
"Commonwealth of Nations","Commonwealth of Nations","LK"
"Commonwealth of Nations","Commonwealth of Nations","LS"
"Commonwealth of Nations","Commonwealth of Nations","MT"
"Commonwealth of Nations","Commonwealth of Nations","MU"
"Commonwealth of Nations","Commonwealth of Nations","MW"
"Commonwealth of Nations","Commonwealth of Nations","MY"
"Commonwealth of Nations","Commonwealth of Nations","MZ"
"Commonwealth of Nations","Commonwealth of Nations","NA"
"Commonwealth of Nations","Commonwealth of Nations","NE"
"Commonwealth of Nations","Commonwealth of Nations","NR"
"Commonwealth of Nations","Commonwealth of Nations","PK"
"Commonwealth of Nations","Commonwealth of Nations","RW"
"Commonwealth of Nations","Commonwealth of Nations","SB"
"Commonwealth of Nations","Commonwealth of Nations","SC"
"Commonwealth of Nations","Commonwealth of Nations","SG"
"Commonwealth of Nations","Commonwealth of Nations","SL"
"Commonwealth of Nations","Commonwealth of Nations","SZ"
"Commonwealth of Nations","Commonwealth of Nations","TO"
"Commonwealth of Nations","Commonwealth of Nations","TT"
"Commonwealth of Nations","Commonwealth of Nations","TV"
"Commonwealth of Nations","Commonwealth of Nations","TZ"
"Commonwealth of Nations","Commonwealth of Nations","UG"
"Commonwealth of Nations","Commonwealth of Nations","VC"
"Commonwealth of Nations","Commonwealth of Nations","VU"
"Commonwealth of Nations","Commonwealth of Nations","WS"
"Commonwealth of Nations","Commonwealth of Nations","ZA"
